,estimator,min_score,mean_score,max_score,std_score,clf__estimator,clf__estimator__C,clf__estimator__degree,clf__estimator__gamma,clf__estimator__kernel
13,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"LinearSVC(C=1000, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",10,,,
9,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,0.001,rbf
15,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"LinearSVC(C=1000, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",1000,,,
14,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"LinearSVC(C=1000, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",100,,,
11,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,scale,rbf
8,split4_test_score,0.9375,0.9674999999999999,0.9875,0.020310096011589923,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,scale,rbf
12,split4_test_score,0.9375,0.9625,0.9875,0.020916500663351895,"LinearSVC(C=1000, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",1,,,
6,split4_test_score,0.8375,0.8775000000000001,0.925,0.028939592256975562,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,0.001,rbf
5,split4_test_score,0.8375,0.8775000000000001,0.925,0.028939592256975562,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,scale,rbf
10,split4_test_score,0.8375,0.8775000000000001,0.925,0.028939592256975562,"SVC(C=100, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,0.0001,rbf
